,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit,tenencia_ahorros,tenencia_corriente,tenencia_cdt,tenencia_tdc,tenencia_lb,tenencia_vehiculo,ingresos,egresos,saldo_captacion,saldo_tdc,monto_trx_tdc,cantidad_trx_tdc,saldo_lb,saldo_veh,monto_trx_debito,cantidad_trx_debito
255,26,admin.,married,secondary,0,808.7303609098973,1,1,unknown,1306.7828421340078,2,-1,0,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,3280.36086178146,3051.8315130810047,12661.246820340188,6965.430754697385,1108.5911738418106,21.683799753425802,42981.11443987018,105481.67018257076,6248.690727326483,24.88602302026038
577,27,technician,single,,0,,1,1,cellular,759.0706174914268,2,-1,0,unknown,1,1.0,0.0,1.0,,1.0,1.0,3204.246500701699,2893.332815259588,7722.4769449309415,7924.012406486592,3263.5887914749655,7.335862851915449,13501.630990289537,42870.82041779789,,17.13696300100476
975,30,services,single,primary,0,34.15484743209633,1,1,cellular,725.5362161397422,1,-1,0,unknown,1,0.0,1.0,0.0,1.0,1.0,1.0,-1413.9983666544447,121.50609343587513,14410.896006288052,9145.492908004797,1055.6352149480524,2.879881024682412,38742.22820573734,45211.19093662324,1943.6564954730886,22.864763988984134
1351,47,blue-collar,,,0,255.81094133531488,1,1,cellular,3097.2514788615317,1,-1,0,unknown,1,,0.0,1.0,1.0,1.0,1.0,4761.027896752721,3857.6695317955546,,9713.523951525553,,46.29287646683585,43523.860808891935,29956.878579627224,854.0627556876589,-5.636709267915972
2618,45,management,,tertiary,0,4194.96222887974,1,1,telephone,498.9589446820972,2,283,1,success,1,1.0,0.0,0.0,1.0,1.0,,4458.137899995071,3612.6482447438543,12759.652137321253,-238.7039214805336,1560.4068803037744,20.28095565134587,27122.466714575778,-4443.083512647914,4730.815258649357,49.03406243897242
3124,28,admin.,single,,0,,1,1,cellular,289.80549080662706,3,142,6,success,1,,0.0,0.0,1.0,1.0,1.0,3439.2488463250725,3065.786618654029,9843.672163821202,10103.275871984644,-722.1506184301572,,55386.8190154162,108854.72939806143,-1603.0773937605654,29.63725679192507
4129,41,unemployed,married,secondary,0,102.3443529264944,1,1,cellular,449.81328967615843,1,-1,0,unknown,1,1.0,0.0,0.0,,1.0,1.0,,626.0996000789635,10423.127428540416,15416.984182716922,1516.0067312179096,,32863.73227001199,38686.20677493712,6489.62352843296,
5253,31,blue-collar,,primary,0,-509.83620702685306,1,1,cellular,1053.2659525112074,7,-1,0,unknown,1,1.0,0.0,0.0,1.0,1.0,1.0,2730.9057500996787,2631.003791906029,9233.316743732767,2017.8390340984224,1037.6291891255473,26.102421170692832,37693.94730627013,68933.09468959876,1477.5861982097945,5.391752136131295
5359,35,management,single,tertiary,0,,1,1,cellular,219.24995453801662,1,-1,0,unknown,0,1.0,,0.0,1.0,1.0,1.0,,4875.728627392446,9045.58685822931,21144.1983738184,512.828066814209,12.120666931556816,25528.607473459266,53017.62948663252,3638.078192114197,
5443,24,services,,,0,1341.5188887356776,1,1,cellular,140.7148304893708,2,-1,0,unknown,0,1.0,0.0,0.0,1.0,1.0,1.0,3841.1431252027533,3216.586158481277,12877.001619319524,13408.921349892265,1302.4975179977694,15.008560147502767,28866.424304684166,100939.02223725928,2501.25924904518,30.31960623139677
5932,47,blue-collar,,primary,0,95.86323811134923,1,1,cellular,705.9096322510354,4,190,1,failure,0,1.0,0.0,1.0,1.0,1.0,1.0,3399.5965089524875,,12017.503552207601,1285.3076086416322,,18.489917076980436,32400.556041717457,2316.0601340656867,5924.215874089949,31.442908695273786
